n,q,name,space,sum,time
1000,2000000,QuadraticQuery,8,6303929782134683931,204.814
1000,2000000,Segment Tree (opt.),8032,6303929782134683931,19.6308
1000,2000000,Segment Tree (Pointers),79976,6303929782134683931,201.518
1000,2000000,PreCompute Answers,8000032,6303929782134683931,7.47836
1000,2000000,Sparse Table,80048,6303929782134683931,4.28986
1000,2000000,Sqrt Blocks,312,6303929782134683931,62.4008
1000,2000000,Sqrt Blocks (prefix),16384,6303929782134683931,43.3805
1000,2000000,Multilevel Sqrt Blocks,22848,6303929782134683931,52.2353
1000,2000000,Cartesian Tree (LCA),124044,6303929782134683931,5.22426
3000,2000000,QuadraticQuery,8,10960397962818270420,490.254
3000,2000000,Segment Tree (opt.),24032,10960397962818270420,18.5691
3000,2000000,Segment Tree (Pointers),239976,10960397962818270420,225.035
3000,2000000,PreCompute Answers,72000032,10960397962818270420,11.8622
3000,2000000,Sparse Table,288048,10960397962818270420,3.57301
3000,2000000,Sqrt Blocks,496,10960397962818270420,78.9736
3000,2000000,Sqrt Blocks (prefix),48568,10960397962818270420,40.4175
3000,2000000,Multilevel Sqrt Blocks,62232,10960397962818270420,53.1736
3000,2000000,Cartesian Tree (LCA),420036,10960397962818270420,6.1199
10000,2000000,QuadraticQuery,8,13759124817357042633,1633.94
10000,2000000,Segment Tree (opt.),80032,13759124817357042633,21.6673
10000,2000000,Segment Tree (Pointers),799976,13759124817357042633,301.309
10000,2000000,PreCompute Answers,800000032,13759124817357042633,17.9023
10000,2000000,Sparse Table,1120048,13759124817357042633,6.19818
10000,2000000,Sqrt Blocks,848,13759124817357042633,120.576
10000,2000000,Sqrt Blocks (prefix),160920,13759124817357042633,43.2462
10000,2000000,Multilevel Sqrt Blocks,192592,13759124817357042633,55.2423
10000,2000000,Cartesian Tree (LCA),1560028,13759124817357042633,9.78428
30000,2000000,QuadraticQuery,8,13609243903705709427,4906.97
30000,2000000,Segment Tree (opt.),240032,13609243903705709427,31.1711
30000,2000000,Segment Tree (Pointers),2399976,13609243903705709427,409.075
30000,2000000,Sparse Table,3600048,13609243903705709427,6.80798
30000,2000000,Sqrt Blocks,1440,13609243903705709427,196.388
30000,2000000,Sqrt Blocks (prefix),481512,13609243903705709427,53.2563
30000,2000000,Multilevel Sqrt Blocks,554576,13609243903705709427,56.9149
30000,2000000,Cartesian Tree (LCA),4920024,13609243903705709427,11.8685
100000,2000000,Segment Tree (opt.),800032,14437292550419886340,41.5409
100000,2000000,Segment Tree (Pointers),7999976,14437292550419886340,634.637
100000,2000000,Sparse Table,13600048,14437292550419886340,14.7498
100000,2000000,Sqrt Blocks,2584,14437292550419886340,354.542
100000,2000000,Sqrt Blocks (prefix),1602656,14437292550419886340,79.5736
100000,2000000,Multilevel Sqrt Blocks,1789208,14437292550419886340,60.9155
100000,2000000,Cartesian Tree (LCA),18000016,14437292550419886340,21.3281
300000,2000000,Segment Tree (opt.),2400032,10823871400521935916,118.358
300000,2000000,Segment Tree (Pointers),23999976,10823871400521935916,841.206
300000,2000000,Sparse Table,45600048,10823871400521935916,20.2486
300000,2000000,Sqrt Blocks,4440,10823871400521935916,654.879
300000,2000000,Sqrt Blocks (prefix),4804512,10823871400521935916,157.133
300000,2000000,Multilevel Sqrt Blocks,5218656,10823871400521935916,91.6768
300000,2000000,Cartesian Tree (LCA),58800008,10823871400521935916,33.0594
1000000,2000000,Segment Tree (opt.),8000032,3169094447345359765,163.537
1000000,2000000,Segment Tree (Pointers),79999976,3169094447345359765,1081.26
1000000,2000000,Sparse Table,160000048,3169094447345359765,22.301
1000000,2000000,Sqrt Blocks,8048,3169094447345359765,1344.82
1000000,2000000,Sqrt Blocks (prefix),16008120,3169094447345359765,272.141
1000000,2000000,Multilevel Sqrt Blocks,17034064,3169094447345359765,125.773
1000000,2000000,Cartesian Tree (LCA),204000004,3169094447345359765,45.7246
3000000,2000000,Segment Tree (opt.),24000032,16279612608184593423,203.006
3000000,2000000,Segment Tree (Pointers),239999976,16279612608184593423,1377.11
3000000,2000000,Sparse Table,528000048,16279612608184593423,23.723
3000000,2000000,Sqrt Blocks,13912,16279612608184593423,2391.68
3000000,2000000,Sqrt Blocks (prefix),48013984,16279612608184593423,404.981
3000000,2000000,Multilevel Sqrt Blocks,50343976,16279612608184593423,141.948
3000000,2000000,Cartesian Tree (LCA),659999996,16279612608184593423,49.1544
10000000,2000000,Segment Tree (opt.),80000032,16685634961725363426,253.194
10000000,2000000,Segment Tree (Pointers),799999976,16685634961725363426,1687.97
10000000,2000000,Sparse Table,1920000048,16685634961725363426,28.0283
10000000,2000000,Sqrt Blocks,25352,16685634961725363426,4289.39
10000000,2000000,Sqrt Blocks (prefix),160025424,16685634961725363426,653.054
10000000,2000000,Multilevel Sqrt Blocks,165718024,16685634961725363426,187.639
10000000,2000000,Cartesian Tree (LCA),2359999988,16685634961725363426,55.6793
